,Title,Price,Star Rating
535,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
536,Olio,23.88,One
537,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
538,Libertarianism for Beginners,51.33,Two
539,It's Only the Himalayas,45.17,Two
540,A Light in the Attic,51.77,Three
541,Tipping the Velvet,53.74,One
542,Soumission,50.1,One
543,Sharp Objects,47.82,Four
544,Sapiens: A Brief History of Humankind,54.23,Five
545,The Requiem Red,22.65,One
546,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
547,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
548,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
549,The Black Maria,52.15,One
550,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
551,Shakespeare's Sonnets,20.66,Four
552,Set Me Free,17.46,Five
553,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
554,Rip it Up and Start Again,35.02,Five
555,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
556,Olio,23.88,One
557,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
558,Libertarianism for Beginners,51.33,Two
559,It's Only the Himalayas,45.17,Two
560,A Light in the Attic,51.77,Three
561,Tipping the Velvet,53.74,One
562,Soumission,50.1,One
563,Sharp Objects,47.82,Four
564,Sapiens: A Brief History of Humankind,54.23,Five
565,The Requiem Red,22.65,One
566,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
567,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
568,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
569,The Black Maria,52.15,One
570,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
571,Shakespeare's Sonnets,20.66,Four
572,Set Me Free,17.46,Five
573,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
574,Rip it Up and Start Again,35.02,Five
575,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
576,Olio,23.88,One
577,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
578,Libertarianism for Beginners,51.33,Two
579,It's Only the Himalayas,45.17,Two
580,A Light in the Attic,51.77,Three
581,Tipping the Velvet,53.74,One
582,Soumission,50.1,One
583,Sharp Objects,47.82,Four
584,Sapiens: A Brief History of Humankind,54.23,Five
585,The Requiem Red,22.65,One
586,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
587,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
588,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
589,The Black Maria,52.15,One
590,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
591,Shakespeare's Sonnets,20.66,Four
592,Set Me Free,17.46,Five
593,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
594,Rip it Up and Start Again,35.02,Five
595,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
596,Olio,23.88,One
597,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
598,Libertarianism for Beginners,51.33,Two
599,It's Only the Himalayas,45.17,Two
600,A Light in the Attic,51.77,Three
601,Tipping the Velvet,53.74,One
602,Soumission,50.1,One
603,Sharp Objects,47.82,Four
604,Sapiens: A Brief History of Humankind,54.23,Five
605,The Requiem Red,22.65,One
606,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
607,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
608,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
609,The Black Maria,52.15,One
610,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
611,Shakespeare's Sonnets,20.66,Four
612,Set Me Free,17.46,Five
613,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
614,Rip it Up and Start Again,35.02,Five
615,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
616,Olio,23.88,One
617,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
618,Libertarianism for Beginners,51.33,Two
619,It's Only the Himalayas,45.17,Two
620,A Light in the Attic,51.77,Three
621,Tipping the Velvet,53.74,One
622,Soumission,50.1,One
623,Sharp Objects,47.82,Four
624,Sapiens: A Brief History of Humankind,54.23,Five
625,The Requiem Red,22.65,One
626,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
627,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
628,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
629,The Black Maria,52.15,One
630,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
631,Shakespeare's Sonnets,20.66,Four
632,Set Me Free,17.46,Five
633,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
634,Rip it Up and Start Again,35.02,Five
635,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
636,Olio,23.88,One
637,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
638,Libertarianism for Beginners,51.33,Two
639,It's Only the Himalayas,45.17,Two
640,A Light in the Attic,51.77,Three
641,Tipping the Velvet,53.74,One
642,Soumission,50.1,One
643,Sharp Objects,47.82,Four
644,Sapiens: A Brief History of Humankind,54.23,Five
645,The Requiem Red,22.65,One
646,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
647,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
648,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
649,The Black Maria,52.15,One
650,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
651,Shakespeare's Sonnets,20.66,Four
652,Set Me Free,17.46,Five
653,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
654,Rip it Up and Start Again,35.02,Five
655,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
656,Olio,23.88,One
657,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
658,Libertarianism for Beginners,51.33,Two
659,It's Only the Himalayas,45.17,Two
660,A Light in the Attic,51.77,Three
661,Tipping the Velvet,53.74,One
662,Soumission,50.1,One
663,Sharp Objects,47.82,Four
664,Sapiens: A Brief History of Humankind,54.23,Five
665,The Requiem Red,22.65,One
666,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
667,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
668,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
669,The Black Maria,52.15,One
670,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
671,Shakespeare's Sonnets,20.66,Four
672,Set Me Free,17.46,Five
673,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
674,Rip it Up and Start Again,35.02,Five
675,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
676,Olio,23.88,One
677,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
678,Libertarianism for Beginners,51.33,Two
679,It's Only the Himalayas,45.17,Two
680,A Light in the Attic,51.77,Three
681,Tipping the Velvet,53.74,One
682,Soumission,50.1,One
683,Sharp Objects,47.82,Four
684,Sapiens: A Brief History of Humankind,54.23,Five
685,The Requiem Red,22.65,One
686,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
687,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
688,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
689,The Black Maria,52.15,One
690,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
691,Shakespeare's Sonnets,20.66,Four
692,Set Me Free,17.46,Five
693,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
694,Rip it Up and Start Again,35.02,Five
695,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
696,Olio,23.88,One
697,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
698,Libertarianism for Beginners,51.33,Two
699,It's Only the Himalayas,45.17,Two
700,A Light in the Attic,51.77,Three
701,Tipping the Velvet,53.74,One
702,Soumission,50.1,One
703,Sharp Objects,47.82,Four
704,Sapiens: A Brief History of Humankind,54.23,Five
705,The Requiem Red,22.65,One
706,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
707,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
708,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
709,The Black Maria,52.15,One
710,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
711,Shakespeare's Sonnets,20.66,Four
712,Set Me Free,17.46,Five
713,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
714,Rip it Up and Start Again,35.02,Five
715,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
716,Olio,23.88,One
717,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
718,Libertarianism for Beginners,51.33,Two
719,It's Only the Himalayas,45.17,Two
720,A Light in the Attic,51.77,Three
721,Tipping the Velvet,53.74,One
722,Soumission,50.1,One
723,Sharp Objects,47.82,Four
724,Sapiens: A Brief History of Humankind,54.23,Five
725,The Requiem Red,22.65,One
726,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
727,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
728,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
729,The Black Maria,52.15,One
730,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
731,Shakespeare's Sonnets,20.66,Four
732,Set Me Free,17.46,Five
733,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
734,Rip it Up and Start Again,35.02,Five
735,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
736,Olio,23.88,One
737,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
738,Libertarianism for Beginners,51.33,Two
739,It's Only the Himalayas,45.17,Two
740,A Light in the Attic,51.77,Three
741,Tipping the Velvet,53.74,One
742,Soumission,50.1,One
743,Sharp Objects,47.82,Four
744,Sapiens: A Brief History of Humankind,54.23,Five
745,The Requiem Red,22.65,One
746,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
747,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
748,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
749,The Black Maria,52.15,One
750,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
751,Shakespeare's Sonnets,20.66,Four
752,Set Me Free,17.46,Five
753,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
754,Rip it Up and Start Again,35.02,Five
755,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
756,Olio,23.88,One
757,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
758,Libertarianism for Beginners,51.33,Two
759,It's Only the Himalayas,45.17,Two
760,A Light in the Attic,51.77,Three
761,Tipping the Velvet,53.74,One
762,Soumission,50.1,One
763,Sharp Objects,47.82,Four
764,Sapiens: A Brief History of Humankind,54.23,Five
765,The Requiem Red,22.65,One
766,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
767,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
768,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
769,The Black Maria,52.15,One
770,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
771,Shakespeare's Sonnets,20.66,Four
772,Set Me Free,17.46,Five
773,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
774,Rip it Up and Start Again,35.02,Five
775,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
776,Olio,23.88,One
777,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
778,Libertarianism for Beginners,51.33,Two
779,It's Only the Himalayas,45.17,Two
780,A Light in the Attic,51.77,Three
781,Tipping the Velvet,53.74,One
782,Soumission,50.1,One
783,Sharp Objects,47.82,Four
784,Sapiens: A Brief History of Humankind,54.23,Five
785,The Requiem Red,22.65,One
786,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
787,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
788,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
789,The Black Maria,52.15,One
790,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
791,Shakespeare's Sonnets,20.66,Four
792,Set Me Free,17.46,Five
793,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
794,Rip it Up and Start Again,35.02,Five
795,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
796,Olio,23.88,One
797,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
798,Libertarianism for Beginners,51.33,Two
799,It's Only the Himalayas,45.17,Two
800,A Light in the Attic,51.77,Three
801,Tipping the Velvet,53.74,One
802,Soumission,50.1,One
803,Sharp Objects,47.82,Four
804,Sapiens: A Brief History of Humankind,54.23,Five
805,The Requiem Red,22.65,One
806,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
807,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
808,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
809,The Black Maria,52.15,One
810,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
811,Shakespeare's Sonnets,20.66,Four
812,Set Me Free,17.46,Five
813,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
814,Rip it Up and Start Again,35.02,Five
815,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
816,Olio,23.88,One
817,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
818,Libertarianism for Beginners,51.33,Two
819,It's Only the Himalayas,45.17,Two
820,A Light in the Attic,51.77,Three
821,Tipping the Velvet,53.74,One
822,Soumission,50.1,One
823,Sharp Objects,47.82,Four
824,Sapiens: A Brief History of Humankind,54.23,Five
825,The Requiem Red,22.65,One
826,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
827,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
828,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
829,The Black Maria,52.15,One
830,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
831,Shakespeare's Sonnets,20.66,Four
832,Set Me Free,17.46,Five
833,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
834,Rip it Up and Start Again,35.02,Five
835,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
836,Olio,23.88,One
837,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
838,Libertarianism for Beginners,51.33,Two
839,It's Only the Himalayas,45.17,Two
840,A Light in the Attic,51.77,Three
841,Tipping the Velvet,53.74,One
842,Soumission,50.1,One
843,Sharp Objects,47.82,Four
844,Sapiens: A Brief History of Humankind,54.23,Five
845,The Requiem Red,22.65,One
846,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
847,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
848,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
849,The Black Maria,52.15,One
850,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
851,Shakespeare's Sonnets,20.66,Four
852,Set Me Free,17.46,Five
853,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
854,Rip it Up and Start Again,35.02,Five
855,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
856,Olio,23.88,One
857,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
858,Libertarianism for Beginners,51.33,Two
859,It's Only the Himalayas,45.17,Two
860,A Light in the Attic,51.77,Three
861,Tipping the Velvet,53.74,One
862,Soumission,50.1,One
863,Sharp Objects,47.82,Four
864,Sapiens: A Brief History of Humankind,54.23,Five
865,The Requiem Red,22.65,One
866,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
867,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
868,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
869,The Black Maria,52.15,One
870,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
871,Shakespeare's Sonnets,20.66,Four
872,Set Me Free,17.46,Five
873,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
874,Rip it Up and Start Again,35.02,Five
875,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
876,Olio,23.88,One
877,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
878,Libertarianism for Beginners,51.33,Two
879,It's Only the Himalayas,45.17,Two
880,A Light in the Attic,51.77,Three
881,Tipping the Velvet,53.74,One
882,Soumission,50.1,One
883,Sharp Objects,47.82,Four
884,Sapiens: A Brief History of Humankind,54.23,Five
885,The Requiem Red,22.65,One
886,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
887,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
888,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
889,The Black Maria,52.15,One
890,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
891,Shakespeare's Sonnets,20.66,Four
892,Set Me Free,17.46,Five
893,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
894,Rip it Up and Start Again,35.02,Five
895,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
896,Olio,23.88,One
897,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
898,Libertarianism for Beginners,51.33,Two
899,It's Only the Himalayas,45.17,Two
900,A Light in the Attic,51.77,Three
901,Tipping the Velvet,53.74,One
902,Soumission,50.1,One
903,Sharp Objects,47.82,Four
904,Sapiens: A Brief History of Humankind,54.23,Five
905,The Requiem Red,22.65,One
906,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
907,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
908,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
909,The Black Maria,52.15,One
910,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
911,Shakespeare's Sonnets,20.66,Four
912,Set Me Free,17.46,Five
913,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
914,Rip it Up and Start Again,35.02,Five
915,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
916,Olio,23.88,One
917,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
918,Libertarianism for Beginners,51.33,Two
919,It's Only the Himalayas,45.17,Two
920,A Light in the Attic,51.77,Three
921,Tipping the Velvet,53.74,One
922,Soumission,50.1,One
923,Sharp Objects,47.82,Four
924,Sapiens: A Brief History of Humankind,54.23,Five
925,The Requiem Red,22.65,One
926,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
927,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
928,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
929,The Black Maria,52.15,One
930,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
931,Shakespeare's Sonnets,20.66,Four
932,Set Me Free,17.46,Five
933,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
934,Rip it Up and Start Again,35.02,Five
935,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
936,Olio,23.88,One
937,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
938,Libertarianism for Beginners,51.33,Two
939,It's Only the Himalayas,45.17,Two
940,A Light in the Attic,51.77,Three
941,Tipping the Velvet,53.74,One
942,Soumission,50.1,One
943,Sharp Objects,47.82,Four
944,Sapiens: A Brief History of Humankind,54.23,Five
945,The Requiem Red,22.65,One
946,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
947,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
948,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
949,The Black Maria,52.15,One
950,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
951,Shakespeare's Sonnets,20.66,Four
952,Set Me Free,17.46,Five
953,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
954,Rip it Up and Start Again,35.02,Five
955,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
956,Olio,23.88,One
957,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
958,Libertarianism for Beginners,51.33,Two
959,It's Only the Himalayas,45.17,Two
960,A Light in the Attic,51.77,Three
961,Tipping the Velvet,53.74,One
962,Soumission,50.1,One
963,Sharp Objects,47.82,Four
964,Sapiens: A Brief History of Humankind,54.23,Five
965,The Requiem Red,22.65,One
966,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
967,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
968,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
969,The Black Maria,52.15,One
970,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
971,Shakespeare's Sonnets,20.66,Four
972,Set Me Free,17.46,Five
973,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
974,Rip it Up and Start Again,35.02,Five
975,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
976,Olio,23.88,One
977,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
978,Libertarianism for Beginners,51.33,Two
979,It's Only the Himalayas,45.17,Two
980,A Light in the Attic,51.77,Three
981,Tipping the Velvet,53.74,One
982,Soumission,50.1,One
983,Sharp Objects,47.82,Four
984,Sapiens: A Brief History of Humankind,54.23,Five
985,The Requiem Red,22.65,One
986,The Dirty Little Secrets of Getting Your Dream Job,33.34,Four
987,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three
988,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four
989,The Black Maria,52.15,One
990,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two
991,Shakespeare's Sonnets,20.66,Four
992,Set Me Free,17.46,Five
993,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five
994,Rip it Up and Start Again,35.02,Five
995,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three
996,Olio,23.88,One
997,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One
998,Libertarianism for Beginners,51.33,Two
999,It's Only the Himalayas,45.17,Two
